               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12004,            0.019334,            0.024747,           6.238e-05,            0.019531,          3.7518e-05,          5.1427e-06,              0.1093,            0.017281,            0.027403,           0.0032843,           0.0032843,            0.070441
                   1,             0.10836,            0.021053,            0.019034,            0.049416,             0.19748,            0.044677,            0.012881,             0.10119,            0.017041,            0.013898,           0.0065521,           0.0065521,            0.040376
                   2,            0.095347,            0.022355,            0.014227,             0.14581,             0.17424,            0.090429,             0.02338,             0.10638,            0.025321,            0.019744,            0.009754,            0.009754,            0.010244
                   3,            0.082501,            0.022293,           0.0080756,             0.29224,             0.37858,             0.32218,             0.10653,            0.087225,            0.036088,           0.0049969,            0.009703,            0.009703,            0.009703
                   4,             0.07075,            0.021263,           0.0053465,             0.85893,              0.4373,              0.5762,             0.22178,             0.06047,            0.015838,           0.0029529,            0.009703,            0.009703,            0.009703
                   5,            0.063759,            0.019616,           0.0040912,             0.50177,             0.72724,             0.51478,             0.16178,            0.056935,            0.014472,           0.0029656,            0.009604,            0.009604,            0.009604
                   6,            0.059062,             0.01832,           0.0037269,             0.67217,             0.68445,             0.66081,             0.28616,            0.048861,            0.012322,           0.0020797,            0.009505,            0.009505,            0.009505
                   7,            0.053031,            0.015884,           0.0028688,             0.87776,              0.8276,              0.8984,             0.47272,            0.043335,             0.01059,           0.0021233,            0.009406,            0.009406,            0.009406
                   8,            0.051459,            0.014954,           0.0029864,             0.90276,             0.83062,             0.91024,             0.40163,            0.042379,            0.010605,           0.0014182,            0.009307,            0.009307,            0.009307
                   9,            0.047626,             0.01418,           0.0025129,             0.90275,             0.81244,             0.86741,             0.48533,            0.042561,           0.0092728,            0.002551,            0.009208,            0.009208,            0.009208
                  10,            0.046896,            0.013568,           0.0026196,             0.88233,             0.87027,             0.94541,              0.4648,             0.04188,           0.0097104,           0.0045592,            0.009109,            0.009109,            0.009109
                  11,            0.043993,            0.012806,           0.0023326,             0.96085,             0.91012,              0.9714,             0.60317,            0.032306,           0.0077754,           0.0014693,             0.00901,             0.00901,             0.00901
                  12,            0.042886,            0.011549,           0.0022538,             0.95233,             0.93056,             0.97532,             0.56039,            0.033521,           0.0078873,           0.0013202,            0.008911,            0.008911,            0.008911
                  13,            0.041939,            0.011768,           0.0021281,             0.94566,             0.96786,             0.97418,              0.5913,            0.033159,           0.0076623,           0.0016305,            0.008812,            0.008812,            0.008812
                  14,            0.039575,             0.01139,           0.0021479,               0.965,             0.94517,             0.97789,             0.60184,            0.032382,           0.0068308,           0.0012958,            0.008713,            0.008713,            0.008713
                  15,            0.039108,             0.01079,           0.0021504,             0.97419,             0.97708,             0.98757,             0.62904,            0.030544,           0.0066023,           0.0013415,            0.008614,            0.008614,            0.008614
                  16,            0.039139,            0.010668,           0.0018298,             0.97776,               0.968,             0.99329,              0.6423,            0.030472,           0.0065916,           0.0011906,            0.008515,            0.008515,            0.008515
                  17,            0.036636,            0.010725,           0.0019566,             0.98824,             0.98242,               0.992,             0.65474,            0.028023,           0.0065521,           0.0011415,            0.008416,            0.008416,            0.008416
                  18,               0.036,            0.010227,            0.001894,             0.97876,             0.97808,             0.99229,             0.65756,            0.028622,           0.0063378,           0.0011059,            0.008317,            0.008317,            0.008317
                  19,            0.035725,            0.010191,           0.0020914,             0.98117,             0.97338,             0.98912,             0.64588,            0.028306,           0.0062421,           0.0011547,            0.008218,            0.008218,            0.008218
                  20,            0.034734,           0.0097007,           0.0018135,             0.97425,             0.97579,             0.99027,             0.65992,            0.027142,           0.0059473,          0.00096363,            0.008119,            0.008119,            0.008119
                  21,            0.034529,           0.0095855,           0.0016064,             0.99441,             0.97967,             0.99346,             0.68169,            0.025828,            0.005906,          0.00099983,             0.00802,             0.00802,             0.00802
                  22,            0.034601,           0.0097553,           0.0017011,             0.98978,             0.98002,             0.99377,             0.65408,            0.027247,           0.0062523,           0.0014817,            0.007921,            0.007921,            0.007921
                  23,            0.033417,            0.008876,           0.0015152,             0.98678,             0.98799,             0.99331,              0.6748,            0.026836,           0.0058826,           0.0010461,            0.007822,            0.007822,            0.007822
                  24,            0.032376,           0.0089981,           0.0014902,             0.99064,             0.98408,             0.99278,             0.69168,            0.024456,           0.0056266,          0.00090205,            0.007723,            0.007723,            0.007723
                  25,            0.032191,           0.0089961,           0.0015829,             0.98453,             0.98799,             0.99438,             0.69593,            0.023522,           0.0054632,          0.00087057,            0.007624,            0.007624,            0.007624
                  26,            0.032172,           0.0092489,           0.0015909,             0.98894,             0.98378,             0.99472,             0.68512,            0.025287,           0.0054532,          0.00089698,            0.007525,            0.007525,            0.007525
                  27,            0.031727,           0.0089388,           0.0017136,             0.98772,             0.98771,             0.99471,             0.67716,            0.024745,           0.0054443,          0.00087537,            0.007426,            0.007426,            0.007426
                  28,            0.031878,           0.0088505,           0.0015154,             0.98156,             0.99189,             0.99409,              0.6935,            0.023655,           0.0054307,          0.00085402,            0.007327,            0.007327,            0.007327
                  29,            0.030343,           0.0084406,           0.0014957,             0.99331,              0.9837,             0.99455,             0.68445,            0.023897,           0.0053626,          0.00096355,            0.007228,            0.007228,            0.007228
                  30,             0.03024,           0.0087611,           0.0015328,             0.99005,             0.98378,             0.99463,             0.71992,            0.022569,            0.005181,          0.00083803,            0.007129,            0.007129,            0.007129
                  31,            0.029789,           0.0084606,            0.001568,             0.98359,             0.98417,             0.99463,             0.71473,            0.022559,           0.0051723,          0.00085395,             0.00703,             0.00703,             0.00703
